id,opportunity,sponsor,channel,sourceUrl,datePosted,deadline,awardType,otisMatch,fitScore,urgency,status,nextAction,lastChecked
diu-2026-001,Official opportunity title,Defense Innovation Unit,DIU Open Solicitation,https://official-source-url,2026-08-17,2026-08-31,Commercial Solutions Opening,EO/IR | Sensor Fusion | Counter-UxS,5,ESCALATE,Open,Review official solicitation and decide bid/no-bid,2026-08-17T19:00:00-06:00
auto-65763c201bdb,PEO-M Unmanned Surface Vehicle (USV) Poseidon's Fury 26 August 2026,SOFWERX,SOFWERX,https://events.sofwerx.org/peo-m-unmanned-surface-vehicle-usv,,,Not published,Unmanned Payload,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-26T13:43:34Z
auto-bbabe1a49cdf,PEO-SDA: UxSAI Mission Autonomy Systems 29 September - 01 October 2026,SOFWERX,SOFWERX,https://events.sofwerx.org/uxsaimissionautonomy,,,Not published,Autonomy,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-26T13:43:34Z
auto-70405d4100c8,SOF Week Accelerator Alley candidate,SOF Week Accelerator Alley,SOF Week,https://decisivedrones.com/,,,Accelerator / seed funding,Counter-UxS,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-95ce9ada4c29,Replanning for Evasive Autonomy to Counter Threats (REACT),SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://swx-strapi-events-images.s3.us-east-1.amazonaws.com/topic_SOC_26_BZ_04_DV_005_Replanning_for_Evasive_Autonomy_to_Counter_Threats_bfbf35c43f.pdf,,,SBIR/STTR,Autonomy,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-18766fe5ed4f,current events Join upcoming SOFWERX events to collaborate with USSOCOM and our ecosystem to help solve challenging Warfighter problems.,SOFWERX,SOFWERX,https://events.sofwerx.org/,,,RFI / market research,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-7bf0ddcf2f0a,"external events View opportunities to participate in USSOCOM-sponsored events and activities to include business opportunities, technical experimentation, and industry forums.",SOFWERX,SOFWERX,https://events.sofwerx.org/ussocom-sponsored-events-exercises,,,Not published,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b17325a0a901,join ecosystem SOFWERX helps solve Special Operations Forces challenges by collaborating with subject matter experts.,SOFWERX,SOFWERX,https://sofwerx.org/ecosystem,,,Not published,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-51a31a25cea1,event statistics The quantity and quality of responses to Warfighter challenges demonstrates the level of engagement from the SOFWERX Ecosystem.,SOFWERX,SOFWERX,https://sofwerx.org/impact#event-statistics,,,RFI / market research,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-8f777131a258,SBIR 26.BZ Release 4 Submit NLT 19 August 2026,SOFWERX,SOFWERX,https://events.sofwerx.org/sbir-26-bz-release-4,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-4a2cf66f1b92,"USSOCOM RFI TE 26-3 Maritime Operations in Contested Electromagnetic Spectrum (EMS) Environments Focus: Maritime Themed​. Closing date: 1200 on 29 May 2026. Location: Bayview, ID 21 August 2026",SOFWERX,SOFWERX,https://sam.gov/workspace/contract/opp/832104b46d5344d58b9673ebd98b737d/view,,,RFI / market research,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b2606ea3dbbf,"RFI for USSOCOM Rapid Experimentation of Prototyping Technology in Learning Environments 26-1 This RFI is for REPTILE 26-1 which will be held from 08-18 SEP 2026 at Gulfport, MS and seeks man-portable, Counter-Unma... 8 September 2026",SOFWERX,SOFWERX,https://sam.gov/workspace/contract/opp/16251016750c4806ab0d63cb13b3b088/view,,,RFI / market research,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-c83d96b202e0,"RFI for USSOCOM Technical Experimentation (TE) 26-4: Signature Management and Defeat Focus: Signature Management​. Closing date: 1200 on 25 June 2026. Location: Red Springs, NC 18 September 2026",SOFWERX,SOFWERX,https://sam.gov/workspace/contract/opp/0085814b2fa8448cabf0cecb914935d5/view,,,RFI / market research,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b05d735affda,Facebook,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fevents.sofwerx.org%2Fsbir-26-bz-release-4,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-2ee109c88feb,LinkedIn,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fevents.sofwerx.org%2Fsbir-26-bz-release-4,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-668387aa310d,Twitter,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://twitter.com/intent/tweet?url=https%3A%2F%2Fevents.sofwerx.org%2Fsbir-26-bz-release-4&text=SBIR+26.BZ+Release+4&hashtags=SOFWERX,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b2bd4b95314e,Click Here to Review,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://www.dodsbirsttr.mil/topics-app/,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-8174c5524d5b,Click Here to Review,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://swx-strapi-events-images.s3.us-east-1.amazonaws.com/SBIR_26_BZ_R4_Telecon_Transcript_Advanced_Stand_off_Detection_of_Concealed_Materials_ASDCM_02ed803af1.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-bce8f008f07a,Click Here to Review,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://swx-strapi-events-images.s3.us-east-1.amazonaws.com/SBIR_26_BZ_R4_Telecon_Transcript_REACT_5f9199bb85.pdf,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-e010fd4ad3d0,Click Here to Submit,SOFWERX SBIR 26.BZ Release 4,SOFWERX SBIR/STTR,https://www.dodsbirsttr.mil/submissions/login,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-2cb607ae273a,About Us,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.socom.mil/sof-atl/pages/sbir.aspx,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-b144598af65e,Experiment with us,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.socom.mil/SOF-ATL/Pages/technical-experimentation.aspx,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-2a30cc69b069,BAA & RFI Announcements,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.socom.mil/SOF-ATL/Pages/baa.aspx,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-9d8add5eebdc,SBIR/STTR Overview,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.socom.mil/SOF-ATL/Pages/sbir.aspx,,,SBIR/STTR,OTIS relevance needs review,3,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
auto-19fcaa0bd857,USSOCOM SBIR/STTR candidate,USSOCOM SBIR/STTR,USSOCOM SBIR/STTR,https://www.socom.mil/SOF-ATL/Pages/sbir_FAQs.aspx,,,SBIR/STTR,OTIS relevance needs review,2,MONITOR,Needs validation,"Open source, verify opportunity facts and deadline",2026-08-18T06:59:21Z
